,Sepal length,Sepal width,Petal length,Petal width,Class
0,4.7,3.2,1.3,0.2,Iris-setosa
1,6.1,3.0,4.6,1.4,Iris-versicolor
2,5.7,2.6,3.5,1.0,Iris-versicolor
3,5.0,3.0,1.6,0.2,Iris-setosa
4,5.6,3.0,4.5,1.5,Iris-versicolor
5,5.4,3.9,1.3,0.4,Iris-setosa
6,4.8,3.4,1.6,0.2,Iris-setosa
7,6.4,3.2,5.3,2.3,Iris-virginica
8,4.7,3.2,1.6,0.2,Iris-setosa
9,6.5,3.0,5.5,1.8,Iris-virginica
10,5.3,3.7,1.5,0.2,Iris-setosa
11,6.4,2.8,5.6,2.1,Iris-virginica
12,6.7,2.5,5.8,1.8,Iris-virginica
13,6.0,3.0,4.8,1.8,Iris-virginica
14,7.7,2.8,6.7,2.0,Iris-virginica
15,6.1,2.8,4.0,1.3,Iris-versicolor
16,5.1,3.8,1.6,0.2,Iris-setosa
17,4.6,3.2,1.4,0.2,Iris-setosa
18,5.5,2.5,4.0,1.3,Iris-versicolor
19,7.0,3.2,4.7,1.4,Iris-versicolor
20,5.7,2.8,4.1,1.3,Iris-versicolor
21,5.7,3.8,1.7,0.3,Iris-setosa
22,6.0,3.4,4.5,1.6,Iris-versicolor
23,6.6,2.9,4.6,1.3,Iris-versicolor
24,5.8,2.7,3.9,1.2,Iris-versicolor
25,6.3,3.3,6.0,2.5,Iris-virginica
26,5.2,2.7,3.9,1.4,Iris-versicolor
27,4.6,3.6,1.0,0.2,Iris-setosa
28,5.7,3.0,4.2,1.2,Iris-versicolor
29,5.7,4.4,1.5,0.4,Iris-setosa
30,7.7,2.6,6.9,2.3,Iris-virginica
31,6.4,3.2,4.5,1.5,Iris-versicolor
32,5.0,3.4,1.6,0.4,Iris-setosa
33,6.0,2.2,5.0,1.5,Iris-virginica
34,6.9,3.1,5.1,2.3,Iris-virginica
35,6.9,3.1,4.9,1.5,Iris-versicolor
36,5.7,2.8,4.5,1.3,Iris-versicolor
37,6.2,3.4,5.4,2.3,Iris-virginica
38,6.2,2.8,4.8,1.8,Iris-virginica
39,4.4,3.0,1.3,0.2,Iris-setosa
40,6.3,3.4,5.6,2.4,Iris-virginica
41,5.8,2.7,5.1,1.9,Iris-virginica
42,6.3,2.7,4.9,1.8,Iris-virginica
43,5.6,3.0,4.1,1.3,Iris-versicolor
44,5.2,3.4,1.4,0.2,Iris-setosa
45,6.3,3.3,4.7,1.6,Iris-versicolor
46,6.4,3.1,5.5,1.8,Iris-virginica
47,5.4,3.4,1.7,0.2,Iris-setosa
48,5.0,3.5,1.6,0.6,Iris-setosa
49,6.5,3.0,5.2,2.0,Iris-virginica
50,5.1,3.8,1.9,0.4,Iris-setosa
51,6.7,3.3,5.7,2.5,Iris-virginica
52,6.6,3.0,4.4,1.4,Iris-versicolor
53,5.4,3.9,1.7,0.4,Iris-setosa
54,4.8,3.1,1.6,0.2,Iris-setosa
55,5.4,3.0,4.5,1.5,Iris-versicolor
56,5.6,2.5,3.9,1.1,Iris-versicolor
57,6.4,2.9,4.3,1.3,Iris-versicolor
58,4.8,3.0,1.4,0.3,Iris-setosa
59,6.1,2.8,4.7,1.2,Iris-versicolor
60,6.1,3.0,4.9,1.8,Iris-virginica
61,6.1,2.9,4.7,1.4,Iris-versicolor
62,4.9,3.0,1.4,0.2,Iris-setosa
63,4.4,2.9,1.4,0.2,Iris-setosa
64,5.1,3.4,1.5,0.2,Iris-setosa
65,6.2,2.2,4.5,1.5,Iris-versicolor
66,5.5,2.4,3.8,1.1,Iris-versicolor
67,6.0,2.2,4.0,1.0,Iris-versicolor
68,6.8,2.8,4.8,1.4,Iris-versicolor
69,5.7,2.9,4.2,1.3,Iris-versicolor
70,7.2,3.6,6.1,2.5,Iris-virginica
71,6.0,2.9,4.5,1.5,Iris-versicolor
72,5.5,4.2,1.4,0.2,Iris-setosa
73,7.2,3.0,5.8,1.6,Iris-virginica
74,6.5,3.2,5.1,2.0,Iris-virginica
75,5.8,4.0,1.2,0.2,Iris-setosa
76,5.6,2.8,4.9,2.0,Iris-virginica
77,6.0,2.7,5.1,1.6,Iris-versicolor
78,5.0,3.2,1.2,0.2,Iris-setosa
79,6.3,2.8,5.1,1.5,Iris-virginica
80,5.9,3.0,5.1,1.8,Iris-virginica
81,5.2,4.1,1.5,0.1,Iris-setosa
82,4.9,3.1,1.5,0.1,Iris-setosa
83,4.9,2.5,4.5,1.7,Iris-virginica
84,5.0,2.3,3.3,1.0,Iris-versicolor
85,6.2,2.9,4.3,1.3,Iris-versicolor
86,5.1,3.3,1.7,0.5,Iris-setosa
87,6.7,3.3,5.7,2.1,Iris-virginica
88,5.0,3.5,1.3,0.3,Iris-setosa
89,5.0,3.6,1.4,0.2,Iris-setosa
90,6.3,2.5,5.0,1.9,Iris-virginica
91,5.7,2.5,5.0,2.0,Iris-virginica
92,7.2,3.2,6.0,1.8,Iris-virginica
93,4.6,3.1,1.5,0.2,Iris-setosa
94,4.9,2.4,3.3,1.0,Iris-versicolor
95,5.6,2.7,4.2,1.3,Iris-versicolor
96,5.2,3.5,1.5,0.2,Iris-setosa
97,6.8,3.0,5.5,2.1,Iris-virginica
98,6.5,3.0,5.8,2.2,Iris-virginica
99,5.5,2.3,4.0,1.3,Iris-versicolor
100,6.8,3.2,5.9,2.3,Iris-virginica
101,5.8,2.7,5.1,1.9,Iris-virginica
102,6.4,2.8,5.6,2.2,Iris-virginica
103,5.1,3.7,1.5,0.4,Iris-setosa
104,4.8,3.4,1.9,0.2,Iris-setosa
